location_name,latitude,longitude,type,opening_hours,rating,visitor_count_per_month
Boulangerie Bio Paris,48.853,2.3499,Organic Bakery,7 AM - 7 PM,4.5,636
Parc Monceau,48.879,2.309,Park,6 AM - 10 PM,4.9,758
EcoloSport Fitness Club,48.8602,2.3522,Sports Club,5 AM - 10 PM,4.0,701
Electric Charging Station - Bastille,48.8535,2.3694,Electric Charging Station,24/7,4.5,896
Vélib Bike Stand - Montmartre,48.8867,2.3421,Bike Stand,24/7,3.7,533
Community Garden - Saint-Lazare,48.8746,2.3257,Community Garden,8 AM - 6 PM,4.6,875
Organic Market - Rue Cler,48.8566,2.3085,Organic Market,9 AM - 1 PM,4.1,848
Yoga Park - Parc de la Villette,48.8903,2.3931,Yoga Area,"8 AM - 10 AM, 4 PM - 6 PM",4.1,662
Electric Bus Stop - République,48.8671,2.3649,Bus Stop,6 AM - 10 PM,4.1,256
EcoCafe - Marais,48.8578,2.3543,Eco-friendly Cafe,8 AM - 8 PM,3.6,914
